"","X5","X1500","X0","X0.1","X1"
"201",5,1500,0,0,0
"202",10,1500,0,0,0
"203",15,779,2,0,0
"204",20,154,4,0,0
"205",25,-7,0,0,0
"206",30,-7,0,0,0
"207",35,-7,0,0,0
"208",40,-7,0,0,0
"209",45,-7,0,0,0
"210",50,-7,0,0,0
"211",55,-7,0,0,0
"212",60,-7,0,0,0
"213",65,-7,0,0,0
"214",70,-7,0,0,0
"215",75,-7,0,0,0
"216",80,-7,0,0,0
"217",85,-7,0,0,0
"218",90,-7,0,0,0
"219",95,-7,0,0,0
"220",100,-7,0,0,0
"221",105,-7,0,0,0
"222",110,-7,0,0,0
"223",115,-7,0,0,0
"224",120,-7,0,0,0
"225",125,-7,0,0,0
"226",130,-7,0,0,0
"227",135,-7,0,0,0
"228",140,-7,0,0,0
"229",145,-7,0,0,0
"230",150,-7,0,0,0
"231",155,-7,0,0,0
"232",160,-7,0,0,0
"233",165,-7,0,0,0
"234",170,-7,0,0,0
"235",175,-7,0,0,0
"236",180,-7,0,0,0
"237",185,-7,0,0,0
"238",190,-7,0,0,0
"239",195,-7,0,0,0
"240",200,-7,0,0,0
"241",205,-7,0,0,0
"242",210,-7,0,0,0
"243",215,-7,0,0,0
"244",220,-7,0,0,0
"245",225,-7,0,0,0
"246",230,-7,0,0,0
"247",235,-7,0,0,0
"248",240,-7,0,0,0
"249",245,-7,0,0,0
"250",250,-7,0,0,0
"251",255,-7,0,0,0
"252",260,-7,0,0,0
"253",265,-7,0,0,0
"254",270,-7,0,0,0
"255",275,-7,0,0,0
"256",280,-7,0,0,0
"257",285,-7,0,0,0
"258",290,-7,0,0,0
"259",295,-7,0,0,0
"260",300,-7,0,0,0
"261",305,-7,0,0,0
"262",310,-7,0,0,0
"263",315,-7,0,0,0
"264",320,-7,0,0,0
"265",325,-7,0,0,0
"266",330,-7,0,0,0
"267",335,-7,0,0,0
"268",340,-7,0,0,0
"269",345,-7,0,0,0
"270",350,-7,0,0,0
"271",355,-7,0,0,0
"272",360,-7,0,0,0
"273",365,-7,0,0,0
"274",370,-7,0,0,0
"275",375,-7,0,0,0
"276",380,-7,0,0,0
"277",385,-7,0,0,0
"278",390,-7,0,0,0
"279",395,-7,0,0,0
"280",400,-7,0,0,0
"281",405,-7,0,0,0
"282",410,-7,0,0,0
"283",415,-7,0,0,0
"284",420,-7,0,0,0
"285",425,-7,0,0,0
"286",430,-7,0,0,0
"287",435,-7,0,0,0
"288",440,-7,0,0,0
"289",445,-7,0,0,0
"290",450,-7,0,0,0
"291",455,-7,0,0,0
"292",460,-7,0,0,0
"293",465,-7,0,0,0
"294",470,-7,0,0,0
"295",475,-7,0,0,0
"296",480,-7,0,0,0
"297",485,-7,0,0,0
"298",490,-7,0,0,0
"299",495,-7,0,0,0
"300",500,-7,0,0,0
"301",505,-7,0,0,0
"302",510,-7,0,0,0
"303",515,-7,0,0,0
"304",520,-7,0,0,0
"305",525,-7,0,0,0
"306",530,-7,0,0,0
"307",535,-7,0,0,0
"308",540,-7,0,0,0
"309",545,-7,0,0,0
"310",550,-7,0,0,0
"311",5,1500,0,0,0
"312",10,1300,0,0,0
"313",15,1100,1,0,0
"314",20,260,4,0,0
"315",25,160,4,0,0
"316",30,40,6,0,0
"317",35,66,6,0,0
"318",40,66,6,0,0
"319",45,66,6,0,0
"320",50,66,6,0,0
"321",55,-44,0,0,0
"322",60,-44,0,0,0
"323",65,-44,0,0,0
"324",70,-44,0,0,0
"325",75,-44,0,0,0
"326",80,-44,0,0,0
"327",85,-44,0,0,0
"328",90,-44,0,0,0
"329",95,-44,0,0,0
"330",100,-44,0,0,0
"331",105,-44,0,0,0
"332",110,-44,0,0,0
"333",115,-44,0,0,0
"334",120,-44,0,0,0
"335",125,-44,0,0,0
"336",130,-44,0,0,0
"337",135,-44,0,0,0
"338",140,-44,0,0,0
"339",145,-44,0,0,0
"340",150,-44,0,0,0
"341",155,-44,0,0,0
"342",160,-44,0,0,0
"343",165,-44,0,0,0
"344",170,-44,0,0,0
"345",175,-44,0,0,0
"346",180,-44,0,0,0
"347",185,-44,0,0,0
"348",190,-44,0,0,0
"349",195,-44,0,0,0
"350",200,-44,0,0,0
"351",205,-44,0,0,0
"352",210,-44,0,0,0
"353",215,-44,0,0,0
"354",220,-44,0,0,0
"355",225,-44,0,0,0
"356",230,-44,0,0,0
"357",235,-44,0,0,0
"358",240,-44,0,0,0
"359",245,-44,0,0,0
"360",250,-44,0,0,0
"361",255,-44,0,0,0
"362",260,-44,0,0,0
"363",265,-44,0,0,0
"364",270,-44,0,0,0
"365",275,-44,0,0,0
"366",280,-44,0,0,0
"367",285,-44,0,0,0
"368",290,-44,0,0,0
"369",295,-44,0,0,0
"370",300,-44,0,0,0
"371",305,-44,0,0,0
"372",310,-44,0,0,0
"373",315,-44,0,0,0
"374",320,-44,0,0,0
"375",325,-44,0,0,0
"376",330,-44,0,0,0
"377",335,-44,0,0,0
"378",340,-44,0,0,0
"379",345,-44,0,0,0
"380",350,-44,0,0,0
"381",355,-44,0,0,0
"382",360,-44,0,0,0
"383",365,-44,0,0,0
"384",370,-44,0,0,0
"385",375,-44,0,0,0
"386",380,-44,0,0,0
"387",385,-44,0,0,0
"388",390,-44,0,0,0
"389",395,-44,0,0,0
"390",400,-44,0,0,0
"391",405,-44,0,0,0
"392",410,-44,0,0,0
"393",415,-44,0,0,0
"394",420,-44,0,0,0
"395",425,-44,0,0,0
"396",430,-44,0,0,0
"397",435,-44,0,0,0
"398",440,-44,0,0,0
"399",445,-44,0,0,0
"400",450,-44,0,0,0
"401",455,-44,0,0,0
"402",460,-44,0,0,0
"403",465,-44,0,0,0
"404",470,-44,0,0,0
"405",475,-44,0,0,0
"406",480,-44,0,0,0
"407",485,-44,0,0,0
"408",490,-44,0,0,0
"409",495,-44,0,0,0
"410",500,-44,0,0,0
"411",505,-44,0,0,0
"412",510,-44,0,0,0
"413",515,-44,0,0,0
"414",520,-44,0,0,0
"415",525,-44,0,0,0
"416",530,-44,0,0,0
"417",535,-44,0,0,0
"418",540,-44,0,0,0
"419",545,-44,0,0,0
"420",550,-44,0,0,0
"421",5,1500,0,0,1
"422",10,1500,0,0,1
"423",15,1500,0,0,1
"424",20,1500,0,0,1
"425",25,1700,0,0,1
"426",30,1700,0,0,1
"427",35,1700,0,0,1
"428",40,1600,0,0,1
"429",45,1800,0,0,1
"430",50,1800,0,0,1
"431",55,1750,0,0,1
"432",60,1950,0,0,1
"433",65,1944,0,0,1
"434",70,2144,0,0,1
"435",75,2144,0,0,1
"436",80,2144,0,0,1
"437",85,2144,0,0,1
"438",90,2144,0,0,1
"439",95,2344,0,0,1
"440",100,2144,1,0,1
"441",105,2044,1,0,1
"442",110,2094,2,0,1
"443",115,2076,2,0,1
"444",120,2054,2,0,1
"445",125,2254,2,0,1
"446",130,2248,2,0,1
"447",135,2226,2,0,1
"448",140,2226,2,0,1
"449",145,2226,2,0,1
"450",150,2220,2,0,1
"451",155,2198,2,0,1
"452",160,2198,2,0,1
"453",165,2398,2,0,1
"454",170,2380,2,0,1
"455",175,2480,2,0,1
"456",180,2456,2,0,1
"457",185,2356,2,0,1
"458",190,2530,2,0,1
"459",195,2430,2,0,1
"460",200,2330,2,0,1
"461",205,2330,2,0,1
"462",210,2327,2,0,1
"463",215,2309,2,0,1
"464",220,2283,2,0,1
"465",225,2283,2,0,1
"466",230,2449,2,0,1
"467",235,2349,2,0,1
"468",240,2543,2,0,1
"469",245,2511,2,0,1
"470",250,2607,2,0,1
"471",255,2575,2,0,1
"472",260,2531,2,0,1
"473",265,2503,2,0,1
"474",270,2657,2,0,1
"475",275,2657,2,0,1
"476",280,2657,2,0,1
"477",285,2682,2,0,1
"478",290,2664,2,0,1
"479",295,2844,2,0,1
"480",300,2816,2,0,1
"481",305,2716,2,0,1
"482",310,2700,2,0,1
"483",315,2668,2,0,1
"484",320,2649,2,0,1
"485",325,2621,2,0,1
"486",330,2693,2,0,1
"487",335,2593,2,0,1
"488",340,2593,2,0,1
"489",345,2593,2,0,1
"490",350,2675,2,0,1
"491",355,2675,2,0,1
"492",360,2675,2,0,1
"493",365,2675,2,0,1
"494",370,2631,2,0,1
"495",375,2628,2,0,1
"496",380,2628,2,0,1
"497",385,2776,2,0,1
"498",390,2740,2,0,1
"499",395,2724,2,0,1
"500",400,2672,2,0,1
"501",405,2602,2,0,1
"502",410,2758,2,0,1
"503",415,2678,2,0,1
"504",420,2622,2,0,1
"505",425,2818,2,0,1
"506",430,2794,2,0,1
"507",435,2702,2,0,1
"508",440,2602,2,0,1
"509",445,2602,2,0,1
"510",450,2534,2,0,1
"511",455,2534,2,0,1
"512",460,2464,2,0,1
"513",465,2472,2,0,1
"514",470,2472,2,0,1
"515",475,2372,2,0,1
"516",480,2324,2,0,1
"517",485,2224,2,0,1
"518",490,2412,2,0,1
"519",495,2388,2,0,1
"520",500,2388,2,0,1
"521",505,2344,2,0,1
"522",510,2312,2,0,1
"523",515,2292,2,0,1
"524",520,2260,2,0,1
"525",525,2216,2,0,1
"526",530,2330,2,0,1
"527",535,2302,2,0,1
"528",540,2262,2,0,1
"529",545,2206,2,0,1
"530",550,2326,2,0,1
"531",5,1500,0,0,1
"532",10,1184,1,0,1
"533",15,984,2,0,1
"534",20,984,2,0,1
"535",25,984,3,0,1
"536",30,834,4,0,1
"537",35,908,4,0,1
"538",40,908,4,0,1
"539",45,908,4,0,1
"540",50,908,4,0,1
"541",55,1208,4,0,1
"542",60,1208,4,0,1
"543",65,1214,4,0,1
"544",70,1214,4,0,1
"545",75,1214,5,0,1
"546",80,1214,5,0,1
"547",85,1214,5,0,1
"548",90,1214,5,0,1
"549",95,1214,5,0,1
"550",100,994,6,0,1
"551",105,834,7,0,1
"552",110,634,9,0,1
"553",115,452,10,0,1
"554",120,14,12,0,1
"555",125,14,12,0,1
"556",130,40,13,0,1
"557",135,62,13,0,1
"558",140,202,14,0,1
"559",145,202,14,0,1
"560",150,48,15,0,1
"561",155,270,15,0,1
"562",160,270,15,0,1
"563",165,270,15,0,1
"564",170,28,17,0,1
"565",175,228,18,0,1
"566",180,252,18,0,1
"567",185,252,18,0,1
"568",190,278,18,0,1
"569",195,78,19,0,1
"570",200,278,19,0,1
"571",205,278,19,0,1
"572",210,101,20,0,1
"573",215,119,20,0,1
"574",220,345,20,0,1
"575",225,345,20,0,1
"576",230,379,20,0,1
"577",235,159,21,0,1
"578",240,165,21,0,1
"579",245,397,21,0,1
"580",250,221,22,0,1
"581",255,353,22,0,1
"582",260,397,22,0,1
"583",265,425,22,0,1
"584",270,351,23,0,1
"585",275,551,23,0,1
"586",280,551,23,0,1
"587",285,526,23,0,1
"588",290,544,23,0,1
"589",295,464,23,0,1
"590",300,492,23,0,1
"591",305,592,23,0,1
"592",310,708,23,0,1
"593",315,940,23,0,1
"594",320,959,23,0,1
"595",325,987,23,0,1
"596",330,765,24,0,1
"597",335,865,24,0,1
"598",340,1065,24,0,1
"599",345,765,25,0,1
"600",350,783,25,0,1
"601",355,883,25,0,1
"602",360,883,25,0,1
"603",365,883,25,0,1
"604",370,1327,25,0,1
"605",375,1330,25,0,1
"606",380,1090,26,0,1
"607",385,1342,26,0,1
"608",390,1378,26,0,1
"609",395,1594,26,0,1
"610",400,1646,26,0,1
"611",405,1716,26,0,1
"612",410,1760,26,0,1
"613",415,2040,26,0,1
"614",420,2096,26,0,1
"615",425,2100,26,0,1
"616",430,2324,26,0,1
"617",435,2316,26,0,1
"618",440,2616,26,0,1
"619",445,2616,26,0,1
"620",450,2684,26,0,1
"621",455,2684,26,0,1
"622",460,2754,26,0,1
"623",465,2746,26,0,1
"624",470,2746,26,0,1
"625",475,3046,26,0,1
"626",480,3094,26,0,1
"627",485,3094,26,0,1
"628",490,3106,26,0,1
"629",495,3330,26,0,1
"630",500,3330,26,0,1
"631",505,3374,26,0,1
"632",510,3406,26,0,1
"633",515,3526,26,0,1
"634",520,3558,26,0,1
"635",525,3602,26,0,1
"636",530,3688,26,0,1
"637",535,3916,26,0,1
"638",540,3956,26,0,1
"639",545,3912,26,0,1
"640",550,3992,26,0,1
"641",5,1500,0,0,0
"642",10,480,2,0,0
"643",15,-3,0,0,0
"644",20,-3,0,0,0
"645",25,-3,0,0,0
"646",30,-3,0,0,0
"647",35,-3,0,0,0
"648",40,-3,0,0,0
"649",45,-3,0,0,0
"650",50,-3,0,0,0
"651",55,-3,0,0,0
"652",60,-3,0,0,0
"653",65,-3,0,0,0
"654",70,-3,0,0,0
"655",75,-3,0,0,0
"656",80,-3,0,0,0
"657",85,-3,0,0,0
"658",90,-3,0,0,0
"659",95,-3,0,0,0
"660",100,-3,0,0,0
"661",105,-3,0,0,0
"662",110,-3,0,0,0
"663",115,-3,0,0,0
"664",120,-3,0,0,0
"665",125,-3,0,0,0
"666",130,-3,0,0,0
"667",135,-3,0,0,0
"668",140,-3,0,0,0
"669",145,-3,0,0,0
"670",150,-3,0,0,0
"671",155,-3,0,0,0
"672",160,-3,0,0,0
"673",165,-3,0,0,0
"674",170,-3,0,0,0
"675",175,-3,0,0,0
"676",180,-3,0,0,0
"677",185,-3,0,0,0
"678",190,-3,0,0,0
"679",195,-3,0,0,0
"680",200,-3,0,0,0
"681",205,-3,0,0,0
"682",210,-3,0,0,0
"683",215,-3,0,0,0
"684",5,1500,0,0,0
"685",10,1490,0,0,0
"686",15,720,3,0,0
"687",20,340,6,0,0
"688",25,342,6,0,0
"689",30,182,7,0,0
"690",35,256,8,0,0
"691",40,256,8,0,0
"692",45,196,9,0,0
"693",50,252,10,1,0
"694",55,102,10,4,0
"695",60,252,10,5,0
"696",65,152,10,6,0
"697",70,52,10,8,0
"698",75,72,10,8,0
"699",80,72,10,8,0
"700",85,72,10,8,0
"701",90,72,10,8,0
"702",95,222,10,9,0
"703",100,598,10,10,0
"704",105,408,11,10,0
"705",110,408,12,10,0
"706",115,408,12,10,0
"707",120,578,12,10,0
"708",125,578,12,10,0
"709",130,406,13,10,0
"710",135,326,14,11,0
"711",140,6,15,12,0
"712",145,206,15,12,0
"713",150,156,15,12,0
"714",155,356,15,12,0
"715",160,266,15,12,0
"716",165,294,15,12,0
"717",170,194,15,13,0
"718",175,194,15,13,0
"719",180,60,16,13,0
"720",185,78,16,13,0
"721",190,78,16,13,0
"722",195,78,16,13,0
"723",200,78,16,13,0
"724",205,278,16,13,0
"725",210,128,16,14,0
"726",215,98,16,14,0
"727",5,1500,0,0,1
"728",10,1350,1,0,1
"729",15,1350,1,0,1
"730",20,1550,1,0,1
"731",25,1522,1,0,1
"732",30,1522,1,0,1
"733",35,1522,1,0,1
"734",40,1522,1,0,1
"735",45,1722,1,0,1
"736",50,1716,1,0,1
"737",55,1316,3,0,1
"738",60,1316,3,0,1
"739",65,1366,3,0,1
"740",70,1366,3,0,1
"741",75,1346,3,0,1
"742",80,1246,3,0,1
"743",85,1446,3,0,1
"744",90,1346,3,0,1
"745",95,1346,3,0,1
"746",100,970,4,0,1
"747",105,1020,4,0,1
"748",110,1020,4,0,1
"749",115,1020,4,0,1
"750",120,1050,4,0,1
"751",125,1050,4,0,1
"752",130,1022,4,0,1
"753",135,1022,4,0,1
"754",140,1022,4,0,1
"755",145,1022,4,0,1
"756",150,1072,4,0,1
"757",155,1072,4,0,1
"758",160,1362,4,0,1
"759",165,1334,4,0,1
"760",170,1334,4,0,1
"761",175,1334,4,0,1
"762",180,1528,4,0,1
"763",185,1510,4,0,1
"764",190,1510,4,0,1
"765",195,1710,4,0,1
"766",200,1710,4,0,1
"767",205,1710,4,0,1
"768",210,1760,4,0,1
"769",215,1790,4,0,1
"770",5,1500,0,0,0
"771",10,494,2,0,0
"772",15,494,2,0,0
"773",20,344,3,0,0
"774",25,570,3,0,0
"775",30,570,3,0,0
"776",35,576,3,0,0
"777",40,-51,4,0,0
"778",45,-51,0,0,0
"779",50,-51,0,0,0
"780",55,-51,0,0,0
"781",60,-51,0,0,0
"782",65,-51,0,0,0
"783",70,-51,0,0,0
"784",75,-51,0,0,0
"785",80,-51,0,0,0
"786",85,-51,0,0,0
"787",90,-51,0,0,0
"788",95,-51,0,0,0
"789",100,-51,0,0,0
"790",105,-51,0,0,0
"791",110,-51,0,0,0
"792",115,-51,0,0,0
"793",120,-51,0,0,0
"794",125,-51,0,0,0
"795",130,-51,0,0,0
"796",135,-51,0,0,0
"797",140,-51,0,0,0
"798",145,-51,0,0,0
"799",150,-51,0,0,0
"800",155,-51,0,0,0
"801",160,-51,0,0,0
"802",165,-51,0,0,0
"803",170,-51,0,0,0
"804",175,-51,0,0,0
"805",180,-51,0,0,0
"806",185,-51,0,0,0
"807",190,-51,0,0,0
"808",195,-51,0,0,0
"809",200,-51,0,0,0
"810",205,-51,0,0,0
"811",210,-51,0,0,0
"812",215,-51,0,0,0
"813",5,1500,0,0,0
"814",10,1320,2,0,0
"815",15,219,5,0,0
"816",20,237,5,0,0
"817",25,216,5,0,0
"818",30,266,6,0,0
"819",35,374,7,0,0
"820",40,-431,0,0,0
"821",45,-431,0,0,0
"822",50,-431,0,0,0
"823",55,-431,0,0,0
"824",60,-431,0,0,0
"825",65,-431,0,0,0
"826",70,-431,0,0,0
"827",75,-431,0,0,0
"828",80,-431,0,0,0
"829",85,-431,0,0,0
"830",90,-431,0,0,0
"831",95,-431,0,0,0
"832",100,-431,0,0,0
"833",105,-431,0,0,0
"834",110,-431,0,0,0
"835",115,-431,0,0,0
"836",120,-431,0,0,0
"837",125,-431,0,0,0
"838",130,-431,0,0,0
"839",135,-431,0,0,0
"840",140,-431,0,0,0
"841",145,-431,0,0,0
"842",150,-431,0,0,0
"843",155,-431,0,0,0
"844",160,-431,0,0,0
"845",165,-431,0,0,0
"846",170,-431,0,0,0
"847",175,-431,0,0,0
"848",180,-431,0,0,0
"849",185,-431,0,0,0
"850",190,-431,0,0,0
"851",195,-431,0,0,0
"852",200,-431,0,0,0
"853",205,-431,0,0,0
"854",210,-431,0,0,0
"855",215,-431,0,0,0
"856",220,-431,0,0,0
"857",225,-431,0,0,0
"858",230,-431,0,0,0
"859",235,-431,0,0,0
"860",240,-431,0,0,0
"861",245,-431,0,0,0
"862",5,1500,0,0,1
"863",10,1300,1,0,1
"864",15,1150,2,0,1
"865",20,242,6,0,1
"866",25,242,6,0,1
"867",30,262,7,1,1
"868",35,154,7,1,1
"869",40,64,7,1,1
"870",45,266,7,1,1
"871",50,76,9,1,1
"872",55,76,9,1,1
"873",60,76,9,1,1
"874",65,76,9,1,1
"875",70,282,9,1,1
"876",75,282,9,1,1
"877",80,304,9,2,1
"878",85,336,9,2,1
"879",90,246,11,2,1
"880",95,194,11,3,1
"881",100,360,11,4,1
"882",105,260,11,6,1
"883",110,276,11,7,1
"884",115,246,11,8,1
"885",120,357,11,9,1
"886",125,459,11,9,1
"887",130,549,12,10,1
"888",135,261,13,11,1
"889",140,311,13,13,1
"890",145,361,13,14,1
"891",150,311,13,15,1
"892",155,291,13,16,1
"893",160,191,14,18,1
"894",165,35,15,18,1
"895",170,91,15,18,1
"896",175,361,15,18,1
"897",180,221,15,22,1
"898",185,213,15,23,1
"899",190,103,16,25,1
"900",195,123,16,25,1
"901",200,239,16,26,1
"902",205,139,16,27,1
"903",210,139,16,28,1
"904",215,103,16,29,1
"905",220,103,16,29,1
"906",225,128,16,29,1
"907",230,142,16,29,1
"908",235,142,16,29,1
"909",240,318,16,30,1
"910",245,2068,16,31,1
"911",5,1500,0,0,0
"912",10,1492,0,0,0
"913",15,1467,0,0,0
"914",20,1447,0,0,0
"915",25,1468,1,0,0
"916",30,1458,1,0,0
"917",35,1458,1,0,0
"918",40,1458,1,0,0
"919",45,1656,1,0,0
"920",50,1656,1,0,0
"921",55,1656,1,0,0
"922",60,1656,1,0,0
"923",65,1681,1,0,0
"924",70,1481,2,0,0
"925",75,1481,2,0,0
"926",80,1411,2,0,0
"927",85,1595,2,0,0
"928",90,1577,2,0,0
"929",95,1565,3,0,0
"930",100,1565,3,0,0
"931",105,1665,3,0,0
"932",110,1651,3,0,0
"933",115,1651,3,0,0
"934",120,1651,3,0,0
"935",125,1751,3,0,0
"936",130,1851,3,0,0
"937",135,1823,3,0,0
"938",140,1623,3,0,0
"939",145,1723,3,0,0
"940",150,1723,3,0,0
"941",155,1893,3,0,0
"942",160,1743,4,0,0
"943",165,1719,4,0,0
"944",170,1863,4,0,0
"945",175,1593,4,0,0
"946",180,1583,4,0,0
"947",185,1541,4,0,0
"948",190,1441,4,0,0
"949",195,1621,4,0,0
"950",200,1605,4,0,0
"951",205,1505,4,0,0
"952",210,1655,4,0,0
"953",215,1641,4,0,0
"954",220,1641,4,0,0
"955",225,1816,4,0,0
"956",230,1802,4,0,0
"957",235,1802,4,0,0
"958",240,1776,4,0,0
"959",245,176,4,0,0
"960",5,1500,0,0,0
"961",10,1358,1,0,0
"962",15,1358,1,0,0
"963",20,1358,1,0,0
"964",25,1558,1,0,0
"965",30,1638,1,0,0
"966",35,1278,3,0,0
"967",40,1256,3,0,0
"968",45,1256,3,0,0
"969",50,1446,3,0,0
"970",55,1446,3,0,0
"971",60,1446,3,0,0
"972",65,1421,3,0,0
"973",70,1415,3,0,0
"974",75,1415,3,0,0
"975",80,1463,3,0,0
"976",85,1447,3,0,0
"977",90,1435,3,0,0
"978",95,1289,4,0,0
"979",100,1013,5,0,0
"980",105,1013,5,0,0
"981",110,1011,5,0,0
"982",115,991,5,0,0
"983",120,290,7,0,0
"984",125,168,8,0,0
"985",130,68,8,0,0
"986",135,44,8,0,0
"987",140,-56,0,0,0
"988",145,-56,0,0,0
"989",150,-56,0,0,0
"990",155,-56,0,0,0
"991",160,-56,0,0,0
"992",165,-56,0,0,0
"993",170,-56,0,0,0
"994",175,-56,0,0,0
"995",180,-56,0,0,0
"996",185,-56,0,0,0
"997",190,-56,0,0,0
"998",195,-56,0,0,0
"999",200,-56,0,0,0
"1000",205,-56,0,0,0
"1001",210,-56,0,0,0
"1002",215,-56,0,0,0
"1003",220,-56,0,0,0
"1004",225,-56,0,0,0
"1005",230,-56,0,0,0
"1006",235,-56,0,0,0
"1007",240,-56,0,0,0
"1008",245,-56,0,0,0
"1009",5,1500,0,0,0
"1010",10,710,2,0,0
"1011",15,-65,0,0,0
"1012",20,-65,0,0,0
"1013",25,-65,0,0,0
